Time,Direction,Location_id,Count,Hour,Day
2013-06-16 20:00:00,N,159W_1ENT,193,20,2013-06-16
2013-06-16 21:00:00,N,159W_1ENT,181,21,2013-06-16
2013-06-16 22:00:00,N,159W_1ENT,137,22,2013-06-16
2013-06-16 23:00:00,N,159W_1ENT,97,23,2013-06-16
2013-06-16 01:00:00,N,TRI_3LCS,1463,1,2013-06-16
2013-06-16 02:00:00,N,TRI_3LCS,844,2,2013-06-16
2013-06-16 03:00:00,N,TRI_3LCS,551,3,2013-06-16
2013-06-16 04:00:00,N,TRI_3LCS,461,4,2013-06-16
2013-06-16 05:00:00,N,TRI_3LCS,420,5,2013-06-16
2013-06-16 06:00:00,N,TRI_3LCS,661,6,2013-06-16
2013-06-16 07:00:00,N,TRI_3LCS,1175,7,2013-06-16
2013-06-16 08:00:00,N,TRI_3LCS,1243,8,2013-06-16
2013-06-16 09:00:00,N,TRI_3LCS,1632,9,2013-06-16
2013-06-16 10:00:00,N,TRI_3LCS,2347,10,2013-06-16
2013-06-16 11:00:00,N,TRI_3LCS,2995,11,2013-06-16
2013-06-16 12:00:00,N,TRI_3LCS,2847,12,2013-06-16
2013-06-16 13:00:00,N,TRI_3LCS,2639,13,2013-06-16
2013-06-16 14:00:00,N,TRI_3LCS,2782,14,2013-06-16
2013-06-16 15:00:00,N,TRI_3LCS,3102,15,2013-06-16
2013-06-16 16:00:00,N,TRI_3LCS,3001,16,2013-06-16
2013-06-16 17:00:00,N,TRI_3LCS,3067,17,2013-06-16
2013-06-16 18:00:00,N,TRI_3LCS,2999,18,2013-06-16
2013-06-16 19:00:00,N,TRI_3LCS,3163,19,2013-06-16
2013-06-16 20:00:00,N,TRI_3LCS,3148,20,2013-06-16
2013-06-16 21:00:00,N,TRI_3LCS,2842,21,2013-06-16
2013-06-16 22:00:00,N,TRI_3LCS,2756,22,2013-06-16
2013-06-16 23:00:00,N,TRI_3LCS,2440,23,2013-06-16
2013-06-16 01:00:00,N,SIBL_1EXIT,170,1,2013-06-16
2013-06-16 02:00:00,N,SIBL_1EXIT,153,2,2013-06-16
2013-06-16 03:00:00,N,SIBL_1EXIT,87,3,2013-06-16
2013-06-16 04:00:00,N,SIBL_1EXIT,55,4,2013-06-16
2013-06-16 05:00:00,N,SIBL_1EXIT,42,5,2013-06-16
2013-06-16 06:00:00,N,SIBL_1EXIT,54,6,2013-06-16
2013-06-16 07:00:00,N,SIBL_1EXIT,68,7,2013-06-16
2013-06-16 08:00:00,N,SIBL_1EXIT,127,8,2013-06-16
2013-06-16 09:00:00,N,SIBL_1EXIT,174,9,2013-06-16
2013-06-16 10:00:00,N,SIBL_1EXIT,214,10,2013-06-16
2013-06-16 11:00:00,N,SIBL_1EXIT,282,11,2013-06-16
2013-06-16 12:00:00,N,SIBL_1EXIT,333,12,2013-06-16
2013-06-16 13:00:00,N,SIBL_1EXIT,301,13,2013-06-16
2013-06-16 14:00:00,N,SIBL_1EXIT,327,14,2013-06-16
2013-06-16 15:00:00,N,SIBL_1EXIT,347,15,2013-06-16
2013-06-16 16:00:00,N,SIBL_1EXIT,344,16,2013-06-16
2013-06-16 17:00:00,N,SIBL_1EXIT,317,17,2013-06-16
2013-06-16 18:00:00,N,SIBL_1EXIT,305,18,2013-06-16
2013-06-16 19:00:00,N,SIBL_1EXIT,285,19,2013-06-16
2013-06-16 20:00:00,N,SIBL_1EXIT,310,20,2013-06-16
2013-06-16 21:00:00,N,SIBL_1EXIT,281,21,2013-06-16
2013-06-16 22:00:00,N,SIBL_1EXIT,252,22,2013-06-16
2013-06-16 23:00:00,N,SIBL_1EXIT,246,23,2013-06-16
2013-06-16 01:00:00,N,SIBL_1ENT,339,1,2013-06-16
2013-06-16 02:00:00,N,SIBL_1ENT,267,2,2013-06-16
2013-06-16 03:00:00,N,SIBL_1ENT,268,3,2013-06-16
2013-06-16 04:00:00,N,SIBL_1ENT,330,4,2013-06-16
